##SYN
	29	0	0	
00093127	4	0	0	(business) too much capitalization (the sale of more stock than the business warrants)
00093354	4	0	0	the recovery of useful substances from waste products
00093483	4	0	0	recovery or preservation from loss or danger; 'work is the deliverance of mankind'; 'a surgeon's job is the saving of lives'
00093874	4	0	0	saving the lives of drowning persons; 'he took a course in lifesaving'
00094001	4	0	0	(theology) the act of delivering from sin or saving from evil
00094240	4	0	0	the act of absolving or remitting; formal redemption as pronounced by a priest in the sacrament of penance
00094500	4	0	0	the remission by the pope of the temporal punishment in purgatory that is still due for sins even after absolution; 'in the Middle Ages the unrestricted sale of indulgences by pardoners became a widespread abuse'
00094788	4	0	0	a spiritual enlightenment causing a person to lead a new life
00094954	4	0	0	the state of being a proselyte; spiritual rebirth resulting from the zeal of crusading advocacy of the gospel
00095121	4	0	0	the act of atoning for sin or wrongdoing (especially appeasing a deity)
00095329	4	0	0	something done or paid in expiation of a wrong; 'how can I make amends'
00095502	4	0	0	the act of liberating someone or something
00095873	4	0	0	the use of force to liberate prisoners
00095971	4	0	0	rescuing from error and returning to a rightful course; 'the reclamation of delinquent children'
00096211	4	0	0	the act of rescuing a ship or its crew or its cargo from a shipwreck or a fire
00096343	4	0	0	the act of saving goods or property that were in danger of damage or destruction
00096513	4	0	0	saving someone or something from harm or from an unpleasant situation; 'the salvation of his party was the president's major concern'
00096720	4	0	0	a rescue mission to search for survivors and to rescue them
00096851	4	0	0	the act of freeing from captivity or punishment
00096969	4	0	0	the act of taking something back
00097122	4	0	0	a legal seizure by the government of profits beyond a fixed amount
00097244	4	0	0	the act of appealing for help
00097348	4	0	0	the act of providing or using the instruments needed for some implementation
00097504	4	0	0	the act of performing; of doing something successfully; using knowledge as distinguished from merely possessing it; 'they criticised his performance as mayor'; 'experience generally improves performance'
00097923	4	0	0	the performance of a legal contract as specified by its terms
00098051	4	0	0	(linguistics) a speaker's actual use of language in real situations; what the speaker actually says, including grammatical errors and other non-linguistic features such as hesitations and other disfluencies (contrasted with linguistic competence)
00098385	4	0	0	the technical aspects of doing something; 'a mechanism of social control'; 'mechanisms of communication'; 'the mechanics of prose style'
00098625	4	0	0	the performance of duties by a waiter or servant; 'that restaurant has excellent service'
