##SYN
	0	
00080169	0	treat with iodine so as to prevent infection; 'iodize a wound'
00080304	0	give medical treatment to
00080456	0	provide veterinary care for
00080589	0	provide (a person) with medical care
00080705	0	try to cure by special care of treatment, of an illness or injury; 'He nursed his cold with Chinese herbs'
00080929	0	treat manually, as with massage, for therapeutic purposed
00081072	0	give or apply (medications)
00081367	0	give a transfusion (e.g., of blood) to
00081509	0	administer digitalis such that the patient benefits maximally without getting adverse effects
00081725	0	provide a cure for, make healthy again; 'The treatment cured the boy's acne'; 'The quack pretended to heal patients but never managed to'
00082081	0	improve the condition of; 'These pills will help the patient'
00082308	0	lessen pain or discomfort; alleviate; 'ease the pain in your legs'
00082563	0	provide relief for; 'remedy his illness'
00082714	0	apply a bandage or medication to; 'dress the victim's wounds'
00082929	0	dress by covering with a therapeutic substance
00083124	0	dress by covering or binding; 'The nurse bandaged a sprained ankle'; 'bandage an incision'
00083334	0	bind with a bandage or ligature; 'ligate the artery'
00083523	0	secure (a sprained joint) with a strap
00083661	0	support with a splint; 'splint a broken finger'
00083809	0	perform surgery on; 'The doctors operated on the patient but failed to save his life'
00084107	0	practice venesection
00084230	0	treat medicinally, treat with medicine
00084562	0	impregnate with a medicinal substance
00084738	0	administer a drug to; 'They drugged the kidnapped tourist'
00085046	0	give a narcotic to; 'The athletes were dope by the coach before the race'
00085246	0	dope (a racehorse)
00085353	0	dose too heavily; 'The rock star overdosed and was found dead in his hotel room'
00085506	0	administer narcotics to
00085626	0	administer an oil or ointment to ; often in a religious ceremony of blessing
00085907	0	apply a salve to, usually for the purpose of healing
00086077	0	draw blood; 'In the old days, doctors routinely bled patients as part of the treatment'
00086320	0	give an injection to; 'We injected the glucose into the patient's vein'
00086598	0	introduce into the body through a vein, for therapeutic purposes; 'Some physiologists infuses sugar solutions into the veins of animals'
00086835	0	perform vaccinations or produce immunity in by inoculation; 'We vaccinate against scarlet fever'; 'The nurse vaccinated the children in the school'
00087290	0	treat by applying evacuated cups to the patient's skin
00087454	0	get sick; 'She fell sick last Friday, and now she is in the hospital'
00087653	0	become pale and sickly
00087736	0	be stricken by an illness, fall victim to an illness; 'He got AIDS'; 'She came down with pneumonia'; 'She took a chill'
00087988	0	contract; 'did you catch a cold?'
00088120	0	come down with a cold
00088209	0	make sick or ill; 'This kind of food sickens me'
00088339	0	administer poison to; 'She poisoned her husband but he did not die'
00088532	0	have an intoxicating effect on, of a drug
00088713	0	contaminate with a disease or microorganism
00088972	0	infect (an infected cell) further or infect a cell already containing similar organisms
00089154	0	affect with smut or mildew, as of a crop such as corn
00089324	0	destroy microorganisms or pathogens by cleansing; 'disinfect a wound'
00089602	0	disinfect with chlorine; 'chlorinate a pool'
00089750	0	communicate a disease to; 'Your children have infected you with this head cold'
00089973	0	infect with a canker
00090075	0	become infected with a canker
00090186	0	inflict a trauma upon
00090386	0	subject to electrical shocks
00090513	0	stimulate (muscles) by administering a shock
00090708	0	destroy or injure severely; 'mutilated bodies'
00090888	0	injure or wound seriously and leave permanent disfiguration or mutilation; 'people were maimed by the explosion'
00091124	0	twist suddenly so as to sprain; 'wrench one's ankle'; 'The wrestler twisted his shoulder'; 'the hikers sprained their ankles when they fell'; 'I turned my ankle and couldn't walk for several days'
00091513	0	sprain or dislocate slightly; 'subluxate the hip'
00091647	0	deprive of the use of a limb, especially a leg; 'The accident has crippled her for life'
00091851	0	cripple by cutting the hamstring
00091968	0	injure permanently; 'He was disabled in a car accident'
00092204	0	disable by cutting the hock
00092293	0	grow worse; 'Her condition deteriorated'; 'Conditions in the slums degenerated'; 'The discussion devolved into a shouting match'
00092690	0	get over an illness or shock; 'The patient is recuperating'
00093020	0	recover quickly; 'After the surgery, the patient snapped back in a few days'
00093163	0	restore to good health or strength
00093327	0	go back to bad behavior; 'Those who recidivate are often minor criminals'
00093593	0	become feeble; 'The prisoner has be languishing for years in the dungeon'
00093775	0	become physically weaker; 'Political prisoners are wasting away in many prisons all over the world'
